0,Tokyo,35.689500,139.691710,0.000000,-3954843.592378,3354935.154958,3700263.820217
1,Delhi,28.666670,77.216670,0.000000,1239227.233093,5461834.040626,3041536.573362
2,Singapore,1.289670,103.850070,0.000000,-1526426.708911,6191135.431550,142592.490742
3,São-Paulo,-23.547500,-46.636110,0.000000,4016884.413346,-4253102.280352,-2532418.944537
4,Mumbai-(Bombay),19.073975,72.880838,0.000000,1775024.409639,5762948.394748,2071089.571952
5,Ciudad-de-México-(Mexico-City),19.427318,-99.141869,0.000000,-956013.259084,-5940788.312317,2108015.826874
6,Beijing,39.907500,116.397230,0.000000,-2178189.628682,4388467.259356,4070111.420547
7,Kinki-M.M.A.-(Osaka),34.675834,135.553823,0.000000,-3748711.554631,3676932.782387,3608349.262864
8,Al-Qahirah-(Cairo),30.039173,31.239411,0.000000,4724843.145927,2865910.587720,3174132.831160
9,New-York-Newark,40.717042,-74.003663,0.000000,1334103.172127,-4653693.528901,4138656.197504
10,Dhaka,23.710400,90.407440,0.000000,-41549.625564,5842769.626778,2548947.975045
11,Karachi,24.905600,67.082200,0.000000,2254070.750009,5331511.452239,2669592.977412
12,Buenos-Aires,-34.605083,-58.400368,0.000000,2753742.582969,-4476209.103195,-3601891.870081
13,Kolkata-(Calcutta),22.533455,88.356045,0.000000,169092.840058,5891674.215633,2429078.655825
14,Istanbul,41.013800,28.949700,0.000000,4217352.684891,2332879.103760,4163578.605821
15,Chongqing,29.562780,106.552780,0.000000,-1581849.527589,5322225.908964,3128308.696599
16,Lagos,6.453060,3.395830,0.000000,6326864.177950,375422.898833,712064.787620
17,Manila,14.604200,120.982200,0.000000,-3177879.424386,5292603.275242,1597759.166873
18,Rio-de-Janeiro,-22.902780,-43.207500,0.000000,4284573.241489,-4024537.642061,-2466804.550393
19,Guangzhou--Guangdong,23.125457,113.257374,0.000000,-2317313.016439,5391778.733951,2489501.977608
20,Los-Angeles-Long-Beach-Santa-Ana,34.031656,-118.241716,0.000000,-2503798.769560,-4661412.425279,3549356.151964
21,Moskva-(Moscow),55.754996,37.621849,0.000000,2849364.249488,2196037.348543,5249138.475472
22,Kinshasa,-4.327580,15.313570,0.000000,6134256.671861,1679704.404461,-478073.165313
23,Abidjan,5.345339,-4.026789,0.000000,6334905.313477,-445956.237759,590216.959218
24,Paris,48.853410,2.348800,0.000000,4201190.555426,172321.379909,4779846.644084
25,Philadelphia,39.952340,-75.163790,0.000000,1253680.828626,-4732878.313270,4073929.261226
26,Jakarta,-6.211831,106.841646,0.000000,-1837143.664996,6068967.145506,-685550.598173
27,London,51.508530,-0.125740,0.000000,3977894.865463,-8729.810601,4968951.845089
28,Bangalore,12.971940,77.593690,0.000000,1335552.388629,6071252.439084,1422379.953394
29,Lima,-12.043180,-77.028240,0.000000,1400398.086889,-6079459.809817,-1322074.118986
30,Chennai-(Madras),13.053091,80.248750,0.000000,1052537.955389,6124609.513043,1431127.192297
31,Monterrey,25.666670,-100.316670,0.000000,-1030190.682169,-5659412.855777,2745823.571687
32,Bogotá,4.609710,-74.081750,0.000000,1743681.827647,-6113850.813796,509176.510048
33,Chukyo-M.M.A.-(Nagoya),35.181470,136.906410,0.000000,-3811007.345744,3565477.965448,3654339.372135
34,Johannesburg,-26.202270,28.043630,0.000000,5054116.749558,2692260.259376,-2799185.281365
35,Krung-Thep-(Bangkok),13.721964,100.525248,0.000000,-1132045.841289,6092987.288584,1503115.898128
36,Hyderabad,17.375280,78.474440,0.000000,1216595.812180,5966134.892947,1892510.821705
37,Chicago,41.850030,-87.650050,0.000000,195096.855909,-4754125.753385,4233209.250228
38,Lahore,31.549722,74.343611,0.000000,1468173.614710,5238496.839736,3317985.617423
39,Tehran,35.694390,51.421510,0.000000,3233827.521754,4054066.363541,3700704.469968
40,Sydney,-33.867850,151.207320,0.000000,-4646012.998371,2553394.354988,-3534283.972607
41,Chengdu,30.666670,104.066670,0.000000,-1334574.922496,5326277.039903,3234160.733404
42,Houston,29.760193,-95.369390,0.000000,-518553.538280,-5517182.475598,3147323.844701
43,Miami,25.789097,-80.204044,0.000000,977713.397182,-5662739.769947,2758041.949627
44,Ahmadabad,23.033330,72.616670,0.000000,1754535.433764,5604443.080389,2480115.956839
45,Hong-Kong,22.279588,114.188697,0.000000,-2419457.493209,5386378.752779,2403088.912615
46,Thành-Pho-Ho-Chí-Minh-(Ho-Chi-Minh-City),10.750000,106.666670,0.000000,-1797376.449356,6003654.168380,1181849.053055
47,Toronto,43.700110,-79.416300,0.000000,848298.519234,-4539985.849087,4384061.168230
48,Kuala-Lumpur,3.141200,101.686530,0.000000,-1290008.255785,6236597.529036,347165.345400
49,Baghdad,33.340580,44.400880,0.000000,3810801.668705,3731927.368190,3485575.399997
